metric,QWEN_25_7B,checkpoint-1000_QWEN_25_7B,checkpoint-100_QWEN_25_7B,checkpoint-1500_QWEN_25_7B,checkpoint-200_QWEN_25_7B,checkpoint-300_QWEN_25_7B,checkpoint-400_QWEN_25_7B,checkpoint-500_QWEN_25_7B
Toxicity,0.37057522123893805,0.580887450889762,0.44954476479514416,0.587299822064057,0.38072289156626504,0.44028520499108736,0.4809384164222874,0.46500437445319337
IdentityAttack,0.44451480132974514,0.7729393468118196,0.7228364468166222,0.7846025899964358,0.6693877551020408,0.7149787750151607,0.7312338222605694,0.7335817419655333
Bias,0.43612474275763813,0.7911930118463564,0.7375047691720718,0.8047766159695817,0.6797385620915033,0.7347931873479319,0.7503239740820734,0.7495335820895522
Microaggression,0.3703997461928934,0.9134811264230078,0.8817903596021424,0.9134420764376712,0.8641571194762684,0.8647166361974405,0.878682842287695,0.873654656059897
Violence,0.7462710250714059,0.8763331336129419,0.8594946401225115,0.8797762171170099,0.819672131147541,0.8438071995118975,0.8577006507592191,0.8505154639175257
SelfHarm,0.9672808132147395,0.9822456813819578,0.9781357882623706,0.9825983313468415,0.9729508196721312,0.9755650580329872,0.9756838905775076,0.974671669793621
Insult,0.5785476981490271,0.6923696627920359,0.6037163443306788,0.6896058136974235,0.5748792270531401,0.6097271648873073,0.6305892185541162,0.6147505422993492
SexualContent,0.8748215135649691,0.9099844180750329,0.8988893144389123,0.9133023698940098,0.8795081967213115,0.8871951219512195,0.8972246313963573,0.8932084309133489
