model,metric,PA,kappa_w,n
checkpoint-400_QWEN_25_7B,Bias,0.7503239740820734,0.4261160940731017,2315
checkpoint-400_QWEN_25_7B,IdentityAttack,0.7312338222605694,0.4818091257752155,2318
checkpoint-400_QWEN_25_7B,Insult,0.6305892185541162,0.5394498127235126,2393
checkpoint-400_QWEN_25_7B,Microaggression,0.878682842287695,0.06952346439572388,2308
checkpoint-400_QWEN_25_7B,SelfHarm,0.9756838905775076,0.10619511958472805,2303
checkpoint-400_QWEN_25_7B,SexualContent,0.8972246313963573,0.5330517415335322,2306
checkpoint-400_QWEN_25_7B,Toxicity,0.4809384164222874,0.6445097930115966,2387
checkpoint-400_QWEN_25_7B,Violence,0.8577006507592191,0.6067616366924946,2305
