model,metric,PA,kappa_w,n
checkpoint-300_QWEN_25_7B,Bias,0.7347931873479319,0.4159408890423394,1644
checkpoint-300_QWEN_25_7B,IdentityAttack,0.7149787750151607,0.4663628248273982,1649
checkpoint-300_QWEN_25_7B,Insult,0.6097271648873073,0.4867027198595659,1686
checkpoint-300_QWEN_25_7B,Microaggression,0.8647166361974405,0.0,1641
checkpoint-300_QWEN_25_7B,SelfHarm,0.9755650580329872,0.0,1637
checkpoint-300_QWEN_25_7B,SexualContent,0.8871951219512195,0.5232731368772937,1640
checkpoint-300_QWEN_25_7B,Toxicity,0.44028520499108736,0.5939166681176957,1683
checkpoint-300_QWEN_25_7B,Violence,0.8438071995118975,0.5865711290309867,1639
