model,metric,PA,kappa_w,n
checkpoint-200_QWEN_25_7B,Bias,0.6797385620915033,0.3951280686532558,1224
checkpoint-200_QWEN_25_7B,IdentityAttack,0.6693877551020408,0.43456010694716407,1225
checkpoint-200_QWEN_25_7B,Insult,0.5748792270531401,0.41244493970963914,1242
checkpoint-200_QWEN_25_7B,Microaggression,0.8641571194762684,0.0,1222
checkpoint-200_QWEN_25_7B,SelfHarm,0.9729508196721312,0.22814872493673344,1220
checkpoint-200_QWEN_25_7B,SexualContent,0.8795081967213115,0.5099629833819013,1220
checkpoint-200_QWEN_25_7B,Toxicity,0.38072289156626504,0.5428000319261923,1245
checkpoint-200_QWEN_25_7B,Violence,0.819672131147541,0.5714635400093017,1220
