model,metric,PA,kappa_w,n
checkpoint-100_QWEN_25_7B,Bias,0.7375047691720718,0.35771019501513646,2621
checkpoint-100_QWEN_25_7B,IdentityAttack,0.7228364468166222,0.40352152585726064,2623
checkpoint-100_QWEN_25_7B,Insult,0.6037163443306788,0.47300839179431187,2637
checkpoint-100_QWEN_25_7B,Microaggression,0.8817903596021424,0.0,2614
checkpoint-100_QWEN_25_7B,SelfHarm,0.9781357882623706,-0.002608477552044075,2607
checkpoint-100_QWEN_25_7B,SexualContent,0.8988893144389123,0.4936129240799708,2611
checkpoint-100_QWEN_25_7B,Toxicity,0.44954476479514416,0.5827219344995364,2636
checkpoint-100_QWEN_25_7B,Violence,0.8594946401225115,0.5583733701105109,2612
