model,metric,PA,kappa_w,n
checkpoint-1000_QWEN_25_7B,Bias,0.7911930118463564,0.5212258284101806,8357
checkpoint-1000_QWEN_25_7B,IdentityAttack,0.7729393468118196,0.5752192300936667,8359
checkpoint-1000_QWEN_25_7B,Insult,0.6923696627920359,0.6370056800491695,8689
checkpoint-1000_QWEN_25_7B,Microaggression,0.9134811264230078,0.6069594926609214,8345
checkpoint-1000_QWEN_25_7B,SelfHarm,0.9822456813819578,0.22015334558831845,8336
checkpoint-1000_QWEN_25_7B,SexualContent,0.9099844180750329,0.6232245414461792,8343
checkpoint-1000_QWEN_25_7B,Toxicity,0.580887450889762,0.7361633978884703,8654
checkpoint-1000_QWEN_25_7B,Violence,0.8763331336129419,0.6485872959144908,8345
