model,metric,PA,kappa_w,n
QWEN_25_7B,Bias,0.43612474275763813,0.22140068671460789,6317
QWEN_25_7B,IdentityAttack,0.44451480132974514,0.28375790557905034,6317
QWEN_25_7B,Insult,0.5785476981490271,0.473074532614162,6321
QWEN_25_7B,Microaggression,0.3703997461928934,0.06000539756518053,6304
QWEN_25_7B,SelfHarm,0.9672808132147395,0.21016822497627996,6296
QWEN_25_7B,SexualContent,0.8748215135649691,0.5152147958546818,6303
QWEN_25_7B,Toxicity,0.37057522123893805,0.5311128824794399,6328
QWEN_25_7B,Violence,0.7462710250714059,0.45311341735400257,6302
