model,metric,PA,kappa_w,n
checkpoint-1500_QWEN_25_7B,Bias,0.8047766159695817,0.5413533785975283,8416
checkpoint-1500_QWEN_25_7B,IdentityAttack,0.7846025899964358,0.5952972237484969,8417
checkpoint-1500_QWEN_25_7B,Insult,0.6896058136974235,0.6393811654191683,9082
checkpoint-1500_QWEN_25_7B,Microaggression,0.9134420764376712,0.5943744348916511,8399
checkpoint-1500_QWEN_25_7B,SelfHarm,0.9825983313468415,0.21913310046157475,8390
checkpoint-1500_QWEN_25_7B,SexualContent,0.9133023698940098,0.6404271990872071,8397
checkpoint-1500_QWEN_25_7B,Toxicity,0.587299822064057,0.7489068411191957,8992
checkpoint-1500_QWEN_25_7B,Violence,0.8797762171170099,0.6632627774868429,8401
