model,metric,PA,kappa_w,n
checkpoint-500_QWEN_25_7B,Bias,0.7495335820895522,0.42183494763930085,2144
checkpoint-500_QWEN_25_7B,IdentityAttack,0.7335817419655333,0.4960926407383064,2147
checkpoint-500_QWEN_25_7B,Insult,0.6147505422993492,0.5010104112058935,2305
checkpoint-500_QWEN_25_7B,Microaggression,0.873654656059897,0.0863778241596096,2137
checkpoint-500_QWEN_25_7B,SelfHarm,0.974671669793621,0.20455676052134097,2132
checkpoint-500_QWEN_25_7B,SexualContent,0.8932084309133489,0.5265430037409415,2135
checkpoint-500_QWEN_25_7B,Toxicity,0.46500437445319337,0.6294137286324786,2286
checkpoint-500_QWEN_25_7B,Violence,0.8505154639175257,0.6098069307512426,2134
